	RNA-POR-71-S1-TP2	RNA-POR-73-S1-TP2	RNA-POR-76-S1-TP2	RNA-POR-79-S1-TP2	RNA-POR-82-S1-TP2
Porites_evermani_scaffold_5215	92.7871	0	99.8853	12.6112	48.1275
Porites_evermani_scaffold_2389	3100.15	2168.42	2146.9	767.387	2522.77
Porites_evermani_scaffold_860	7797.87	1099.64	1390.42	2968.9	9963.94
Porites_evermani_scaffold_757	2242.08	1430.6	3462.83	1847.03	8348.32
Porites_evermani_scaffold_1567	48.1727	482.752	57.378	37.3421	44.1231
Porites_evermani_scaffold_3515	49.3576	18.3321	90.9641	51.2181	74.4204
Porites_evermani_scaffold_2208	12229.5	2783.86	15395.5	12014.6	14024.5
Porites_evermani_scaffold_6184	1	0	25.012	7	25
Porites_evermani_scaffold_2972	148.461	153.102	72.3364	60.6223	400.33
Porites_evermani_scaffold_7411	25	30	15	19.4811	34.5577
Porites_evermani_scaffold_2979	870.929	350.018	1642.81	559	1421.53
Porites_evermani_scaffold_2565	5550.78	2753.24	5178.62	5272.42	6206.16
Porites_evermani_scaffold_4229	279.583	141.45	185.305	4.51361	175.588
Porites_evermani_scaffold_580	17167.3	3485.6	4417.28	7905.71	17540.9
Porites_evermani_scaffold_910	5166.8	4462.3	6318.75	3224.6	3012.5
Porites_evermani_scaffold_2680	104.171	11.8661	106.471	27.9158	84.2027
Porites_evermani_scaffold_3704	4.03351	1.19399	329.064	188.15	6.24141
Porites_evermani_scaffold_2903	8.36291	8.30799	10.1261	5.18008	12.7738
Porites_evermani_scaffold_309	7349.18	3005.34	6795.17	3375.02	8032.93
Porites_evermani_scaffold_6189	16	0	1	0	15
Porites_evermani_scaffold_45	45317.6	23491.5	49027.5	22602.4	43625.7
Porites_evermani_scaffold_4017	135.837	59.0121	159.665	59.2695	82.194
Porites_evermani_scaffold_1002	19.3071	41.1294	0	9.46405	9.60723
Porites_evermani_scaffold_7925	5	0	1	1	18
Porites_evermani_scaffold_5670	12366	3919.52	3312.48	3500.07	7605.06
Porites_evermani_scaffold_106	22760.5	8009.9	18738.6	7999.46	35041.2
Porites_evermani_scaffold_27	6760.8	3049.66	12247.4	4311.12	11543.4
Porites_evermani_scaffold_4069	3204.57	962.887	2367.48	1988.86	3943
Porites_evermani_scaffold_1180	471.596	12896.2	174.769	719.826	1709.5
Porites_evermani_scaffold_7605	14.0174	20.3702	24.7017	10	15.0426
Porites_evermani_scaffold_2199	940.185	319.022	562.062	520.283	1193.07
Porites_evermani_scaffold_3169	141.029	130.883	527.05	122.004	175.482
Porites_evermani_scaffold_424	4626.96	1945.96	5653.06	2349.33	6232.24
Porites_evermani_scaffold_274	8433.44	3253.15	6807.41	3505.96	9414.61
Porites_evermani_scaffold_1028	7432.25	2824.11	2532.24	2875.02	10832.6
Porites_evermani_scaffold_1862	453.673	156.746	371.036	173.901	427.713
Porites_evermani_scaffold_971	5029.45	1554.03	5260.65	2873.86	5850.51
Porites_evermani_scaffold_931	1858.4	730.271	1797.22	1038.75	2613.7
Porites_evermani_scaffold_5331	71.5478	88.0295	16.2064	46.8647	509.07
Porites_evermani_scaffold_5063	1572.83	613.5	2406.3	1631.29	2685.6
Porites_evermani_scaffold_5485	20.0045	6	82	2	11
Porites_evermani_scaffold_6686	0	8	4	46	16
Porites_evermani_scaffold_919	15.4631	16.5411	157.744	37.9762	39.1038
Porites_evermani_scaffold_1878	10.5439	116.404	198.693	131.368	123.646
Porites_evermani_scaffold_7959	5	0	41	4	10
Porites_evermani_scaffold_7465	6	9	0	3	19
Porites_evermani_scaffold_5956	106.489	69.4144	152.32	48.5269	3.22173
Porites_evermani_scaffold_1170	636.76	569.985	648.092	278.596	3526.88
Porites_evermani_scaffold_3408	68.4623	31.8191	80.2194	68.528	92.1238
Porites_evermani_scaffold_4923	291.448	72.7775	593.537	81.9683	312.419
Porites_evermani_scaffold_1174	857.253	669.908	1612.39	353.258	1146.27
Porites_evermani_scaffold_1277	11967.5	3695.89	12084.1	8275.35	11624.4
Porites_evermani_scaffold_2976	2437.41	1465.98	3179.86	1658.02	3096.19
Porites_evermani_scaffold_5910	0	0	30	0	0
Porites_evermani_scaffold_5070	87.3766	42.3803	51.2318	2.23479	7.74935
Porites_evermani_scaffold_6033	782.074	65.6575	28.5969	9.17469	1157.67
Porites_evermani_scaffold_2519	192.009	75.5375	646.736	151.674	242.238
Porites_evermani_scaffold_4528	35.8696	17.7023	32.529	59.9065	44.9724
Porites_evermani_scaffold_2057	570.766	106.121	587.899	127.001	554.141
Porites_evermani_scaffold_647	481.487	245.769	733.748	333.319	548.55
Porites_evermani_scaffold_1459	6222.65	2676.03	9975.54	4461.71	7773.54
Porites_evermani_scaffold_5060	196.133	55.7285	441.768	163.464	314.346
Porites_evermani_scaffold_4984	2133.75	1481.34	5353.43	43.042	97.0836
Porites_evermani_scaffold_3116	28.8878	7.25643	83.3813	17.8728	30.4898
Porites_evermani_scaffold_73	657.88	283.245	264.052	273.825	1452.33
Porites_evermani_scaffold_4445	505.601	195	459	104	486.022
Porites_evermani_scaffold_1227	968.406	3380.17	1018.92	183.932	687.178
Porites_evermani_scaffold_7881	192	206	2	193	1
Porites_evermani_scaffold_1677	5266.86	1451.11	5657.42	2116.9	6000.46
Porites_evermani_scaffold_2806	8.01034	1.00004	56.0083	23.015	0
Porites_evermani_scaffold_77	26423	6653.29	30115.9	14422.3	31525.3
Porites_evermani_scaffold_2017	1432.91	531.764	1520.98	818.916	1198.29
Porites_evermani_scaffold_1633	1466.75	181.003	3652.54	1288.02	2022.07
Porites_evermani_scaffold_3117	28.954	41.2788	60.7152	32.1949	115.823
Porites_evermani_scaffold_7951	81	51	712.829	108	217.787
Porites_evermani_scaffold_5941	205.109	30.4765	182.058	118.58	223.244
Porites_evermani_scaffold_834	1973.01	1192.88	3945.84	673.023	1929.04
Porites_evermani_scaffold_1168	3838.78	1593.58	5161.18	1482.03	3224.68
Porites_evermani_scaffold_169	9205.84	4530.93	9449.16	5220.96	14500.3
Porites_evermani_scaffold_3866	39.5442	74.1847	212.963	38.685	89.6309
Porites_evermani_scaffold_250	26622.5	10107.1	23321.8	20703.3	47223.3
Porites_evermani_scaffold_475	712.897	162.109	2434.77	628.934	1334.05
Porites_evermani_scaffold_559	2582.04	1229.28	3152.06	1433.07	3120.59
Porites_evermani_scaffold_520	919.881	1682.08	1434.42	816.816	1200.66
Porites_evermani_scaffold_5832	5	1	20	0	11
Porites_evermani_scaffold_4323	149	21	103	1	82.0028
Porites_evermani_scaffold_1366	1525.95	830.709	3460.61	1229.74	2012.92
Porites_evermani_scaffold_6072	5.10502	0	0	3	0
Porites_evermani_scaffold_4862	24.4246	19.1571	126.807	6.18934	24.5762
Porites_evermani_scaffold_2692	54.6261	135.455	40.0034	1731.85	1897.64
Porites_evermani_scaffold_3047	1102.78	424.311	1461.37	1122.07	1293.87
Porites_evermani_scaffold_1279	2408.36	1040.86	1799.87	1530.52	3058.47
Porites_evermani_scaffold_554	3014.63	1055.91	4604.53	2190.78	5539.69
Porites_evermani_scaffold_620	249.552	78.7043	543.454	341.49	379.821
Porites_evermani_scaffold_3197	83.1897	22.9031	1026.01	238.602	2.00313
Porites_evermani_scaffold_665	2332.15	1420.88	2275.69	1044.12	5142.27
Porites_evermani_scaffold_2328	11036.3	3339.15	8130	6235.36	13587.1
Porites_evermani_scaffold_776	1890.7	2191.69	3984.23	2622.38	3515.3
Porites_evermani_scaffold_3022	144.007	100.205	353.186	94.5648	207.331
Porites_evermani_scaffold_724	9525.53	6435.21	11328.2	7035.59	10593
Porites_evermani_scaffold_2578	397.049	176.88	51.4672	232.084	194.926
Porites_evermani_scaffold_4666	93.1674	23.317	46.6426	20.5949	56.3355
Porites_evermani_scaffold_1151	42.6739	18.4875	89.7611	17.1279	44.6543
Porites_evermani_scaffold_854	2507.94	1175.85	4107.56	1505.66	3138.42
Porites_evermani_scaffold_220	4659.96	2896.25	5642.2	2440.39	8522.73
Porites_evermani_scaffold_458	10669.3	7067.8	27667.7	7206.33	14381.8
Porites_evermani_scaffold_232	18123.7	7535.98	7835.94	8977.1	25132.9
Porites_evermani_scaffold_619	6132.95	1706.16	1037.59	1604.1	6058.82
Porites_evermani_scaffold_3677	372.746	319.298	72.4402	55.9291	100.332
Porites_evermani_scaffold_6987	24.1581	9	15.2115	0	28.0764
Porites_evermani_scaffold_675	3088.09	1855.84	5112.21	1844.79	6776.98
Porites_evermani_scaffold_734	521.051	138.953	1459.85	399.1	560.905
Porites_evermani_scaffold_4316	20.2807	344.729	0	6.73066	4.26263
Porites_evermani_scaffold_6019	19.1123	22	48	35	55.2197
Porites_evermani_scaffold_697	9528.91	2088.17	4301.13	3102.44	5830.03
Porites_evermani_scaffold_354	2115.75	451.779	3218.95	419.285	1647.73
Porites_evermani_scaffold_914	7578.45	5850.01	13952.9	5092.1	18538.8
Porites_evermani_scaffold_706	3186.81	1969.08	4229.5	1661.6	3260.38
Porites_evermani_scaffold_3528	496.38	170	380	181.78	1211.41
Porites_evermani_scaffold_143	7166.78	2039.27	8688.09	2653.7	6660.26
Porites_evermani_scaffold_3736	3680.71	4415.22	2970.7	42751.7	12515.6
Porites_evermani_scaffold_7946	47	9	30	7	4
Porites_evermani_scaffold_7238	0	0.983618	0	7.03657	0
Porites_evermani_scaffold_111	3498.91	1111.05	4356.4	1528.25	3746.57
Porites_evermani_scaffold_5570	461.98	165	1363.56	481.806	709.934
Porites_evermani_scaffold_2421	586.602	1258.73	1530.66	399.798	997.937
Porites_evermani_scaffold_3103	252.451	251.462	375.369	288	404.862
Porites_evermani_scaffold_1443	1216.45	634.281	992.175	557.357	1086.75
Porites_evermani_scaffold_2297	3565.75	2151.52	3258.3	2081	6578.6
Porites_evermani_scaffold_749	754.116	157.765	1033.93	726.093	1641.11
Porites_evermani_scaffold_3744	373.528	151.101	560.33	240.863	502.634
Porites_evermani_scaffold_153	26964.7	15716.1	17354.4	10881	33638.7
Porites_evermani_scaffold_486	2116.63	1606.97	2965.26	1165.67	3459.42
Porites_evermani_scaffold_5587	615.451	109.193	484.917	61.8733	4.3074
Porites_evermani_scaffold_1126	464.481	239.709	336.301	134.028	362.253
Porites_evermani_scaffold_2223	737.807	370.445	703.589	368.189	55.7865
Porites_evermani_scaffold_51	31945.6	14156.5	30176.5	15600.4	42612.4
Porites_evermani_scaffold_1595	65.9351	28.5929	107.902	39.6186	79.9935
Porites_evermani_scaffold_503	505.999	144.168	3010.96	223.355	502.428
Porites_evermani_scaffold_415	4601.22	1592.12	4823.5	3116.32	3812.83
Porites_evermani_scaffold_6758	60.0432	46.0008	82.001	28.0026	104.001
Porites_evermani_scaffold_1291	3052.44	1876.73	3050.01	1672.29	4374.33
Porites_evermani_scaffold_616	2169.68	737.967	2340.8	1291.54	2257.51
Porites_evermani_scaffold_4730	27.4902	12.0742	100.261	97.7659	163.526
Porites_evermani_scaffold_1172	1121.48	1781.77	1831.09	533.448	1324.24
Porites_evermani_scaffold_6854	0	12.5486	301.122	0	0
Porites_evermani_scaffold_5750	355.809	341.784	394.187	89.8619	481.257
Porites_evermani_scaffold_6838	878	6	3	598.285	412
Porites_evermani_scaffold_4579	96.4877	53.7009	384.207	65.1361	84.6415
Porites_evermani_scaffold_642	61.3825	28.7252	42.2463	36.7484	273.708
Porites_evermani_scaffold_1745	2741.39	1783.27	3336.49	1132.76	3712.62
Porites_evermani_scaffold_2286	43.0501	163.962	443.182	62.5358	296.164
Porites_evermani_scaffold_1238	10.1439	58.163	986.745	21.6357	9.21251
Porites_evermani_scaffold_1418	114.744	34.3018	325.191	78.6595	198.129
Porites_evermani_scaffold_2318	93.8699	111.176	361.431	136.84	152.894
Porites_evermani_scaffold_3114	45.4755	42.0865	74.2413	8.23926	26.8629
Porites_evermani_scaffold_322	10943.4	6475.57	14138.1	8833.85	12734.9
Porites_evermani_scaffold_6583	54.5344	0	130.799	74.8217	83.9242
Porites_evermani_scaffold_2862	7582.96	2287.81	4446.27	4055.75	3275.88
Porites_evermani_scaffold_1024	203.418	126.881	266.07	109.116	163.086
Porites_evermani_scaffold_1491	1562.6	175.887	1301.43	938.886	987.991
Porites_evermani_scaffold_188	19739.3	5560.58	20489.3	6291.07	13549
Porites_evermani_scaffold_281	4344.62	2700.1	6264.46	2746.42	5026.36
Porites_evermani_scaffold_2254	1247.16	463.295	2627.05	804.08	1047.75
Porites_evermani_scaffold_600	4568.41	2268.65	6122.98	3017.09	7373.29
Porites_evermani_scaffold_130	8377.93	3901.04	13000.4	4320.01	11785.7
Porites_evermani_scaffold_852	1620.28	898.079	2108.2	1202.07	2194.6
Porites_evermani_scaffold_1120	2580.7	490.798	1802.1	754.472	2221.52
Porites_evermani_scaffold_6712	108.418	14.0648	93.8314	28.1524	76.3966
Porites_evermani_scaffold_2197	2672.72	1340.62	3679.93	1290.14	3386.23
Porites_evermani_scaffold_2957	87.0954	12.0535	325.875	98.5701	72.8488
Porites_evermani_scaffold_5668	17.6569	0	130.452	61.2611	58.9117
Porites_evermani_scaffold_1536	1080.99	404.007	2820.61	806.677	1360.31
Porites_evermani_scaffold_4873	58.4961	20.6013	172.203	42.8816	75.3088
Porites_evermani_scaffold_817	3623.78	1156.72	6052.45	2052.3	4014.58
Porites_evermani_scaffold_667	3065.19	1381.51	4666.99	1728.04	3916.8
Porites_evermani_scaffold_5674	11.3509	0	32.8813	5.21522	5.22344
Porites_evermani_scaffold_1401	11832.9	4715.64	16203.8	9593.2	17190.4
Porites_evermani_scaffold_32	52036.8	19586.5	52279.6	29363.3	56264.4
Porites_evermani_scaffold_3421	0	1.00857	0	2.00396	0
Porites_evermani_scaffold_496	14483.1	9005.17	19263.6	9466.2	18160.8
Porites_evermani_scaffold_212	3530.87	4268.3	4735.74	2066.63	5089.94
Porites_evermani_scaffold_2162	6141.07	5432.1	4899.68	5744.87	5736.46
Porites_evermani_scaffold_7108	79	57	39	28	25
Porites_evermani_scaffold_766	4362.25	1374.42	3102.3	2236.63	6013.64
Porites_evermani_scaffold_1942	1146.33	678.349	1730.48	573.541	1579.8
Porites_evermani_scaffold_4360	142.735	283.43	2.25066	125.69	32.1473
Porites_evermani_scaffold_6612	28.3623	40.1591	199.729	4.08025	198.091
Porites_evermani_scaffold_680	1885.91	1950.8	2479.11	606.092	1996.85
Porites_evermani_scaffold_1083	1915.15	749.48	3726.36	1737.1	2440.44
Porites_evermani_scaffold_1224	7639.1	1545.22	1711.02	808.858	4540.63
Porites_evermani_scaffold_1211	3394.12	1514.93	3745.59	1944.77	5017
Porites_evermani_scaffold_3367	897.184	20631.1	68.4918	279.309	35.7949
Porites_evermani_scaffold_8168	0	20.9379	66.6693	6	71.4557
Porites_evermani_scaffold_1434	4020	1286.46	3131.07	818.648	3104.36
Porites_evermani_scaffold_4638	2.01831	20.5595	295.694	13	94.8359
Porites_evermani_scaffold_4603	587.733	441.891	1395.62	580.898	835.053
Porites_evermani_scaffold_742	5351.39	1155.26	5962.33	3177.4	4443.97
Porites_evermani_scaffold_3618	8.02711	6.76901	28	0	0
Porites_evermani_scaffold_2659	647.129	353.293	1020.69	634.044	1462.07
Porites_evermani_scaffold_952	37.4296	147.524	117.767	823.542	62.2348
Porites_evermani_scaffold_2845	1059.18	603.714	1569.54	461.865	1107.79
Porites_evermani_scaffold_3789	1199.23	465.289	23.1739	995.204	3674.46
Porites_evermani_scaffold_1771	1498.28	586.266	2870.8	929.123	2089.01
Porites_evermani_scaffold_950	3295.31	1178.86	4325.64	1860.55	4558.25
Porites_evermani_scaffold_1059	1557.51	500.097	1223.12	415.667	1009.68
Porites_evermani_scaffold_1691	452.328	23.1563	1243.99	8.80829	193.708
Porites_evermani_scaffold_235	145.151	146.285	682.423	182.466	257.468
Porites_evermani_scaffold_3924	39.5043	19.0744	89.7237	19.0137	78.9625
Porites_evermani_scaffold_3177	4961.21	2722.38	5919.41	2169.46	6672.8
Porites_evermani_scaffold_4722	0	90.4967	0	6.00033	398
Porites_evermani_scaffold_1654	74.0737	65.7885	261.942	457.013	1362.64
Porites_evermani_scaffold_7538	18.5267	0	0	0	0
Porites_evermani_scaffold_2275	3129.22	2706.74	7596.5	1605.41	5449.04
Porites_evermani_scaffold_326	18805.7	9346.97	10168.9	9899.07	21743.6
Porites_evermani_scaffold_6345	2	8	19	8	14.3179
Porites_evermani_scaffold_6067	58	10.4147	100	6.12862	48.5955
Porites_evermani_scaffold_5745	381	341	457	250	541.524
Porites_evermani_scaffold_3456	251.357	84.2095	627.202	232.031	485.178
Porites_evermani_scaffold_2776	50.205	2.01857	77.203	34.8693	62.525
Porites_evermani_scaffold_5295	2.66651	0	143.125	5.25435	27.7433
Porites_evermani_scaffold_7693	4	7	10	6	2
Porites_evermani_scaffold_466	270.292	353.603	454.87	556.575	360.373
Porites_evermani_scaffold_2906	1166.9	298.216	832.058	510.507	1379.53
Porites_evermani_scaffold_7296	0	13	10	5	26
Porites_evermani_scaffold_1331	361.588	85.1644	164.375	133.666	917.759
Porites_evermani_scaffold_2775	189.71	34.9571	286.247	38.1427	86.4647
Porites_evermani_scaffold_820	56.0861	55.1363	94.0065	70.0365	679.565
Porites_evermani_scaffold_1237	2846.61	1064.21	3458.19	1542.6	3829.46
Porites_evermani_scaffold_82	12499.5	7696.18	21229.8	8123.1	15744
Porites_evermani_scaffold_3801	96.5434	49.5342	61.8874	12.1633	80.4541
Porites_evermani_scaffold_227	11213.6	1684.91	10071	2500.55	14160.7
Porites_evermani_scaffold_272	4172.8	2681.61	7583.86	1866.71	6807.06
Porites_evermani_scaffold_1380	554.217	298.599	955.786	176.18	696.242
Porites_evermani_scaffold_2169	282.298	4427.33	4542.28	4825.08	12140.6
Porites_evermani_scaffold_5644	11.078	76.8338	391.28	56.46	488.672
Porites_evermani_scaffold_6841	9	1	67	0	21
Porites_evermani_scaffold_6524	2.14741	7.22484	12	2.20384	58.8089
Porites_evermani_scaffold_1300	11788.9	3269.8	6439.01	5301.7	16681.2
Porites_evermani_scaffold_1149	3222.98	2112.62	6479.88	3116.93	4677.83
Porites_evermani_scaffold_7544	91.0656	83.2953	12	19	103
Porites_evermani_scaffold_1130	449.176	230.769	620.475	144.63	411.627
Porites_evermani_scaffold_1976	893.356	647.567	1798.11	580.825	1054.14
Porites_evermani_scaffold_2041	555.469	114.87	189.048	180.301	445.19
Porites_evermani_scaffold_1785	2584.13	1510.81	3668.69	1462.73	3220.62
Porites_evermani_scaffold_3796	8.2353	0	56.7554	43.9095	0
Porites_evermani_scaffold_3712	128.326	18.9093	116.098	52.4412	692.969
Porites_evermani_scaffold_1104	14974.6	3974.14	2858.96	4216.13	18842.5
Porites_evermani_scaffold_320	5683.93	2831.44	6580.28	2924.21	6701.73
Porites_evermani_scaffold_883	30264.2	26906.1	68275.5	26281	56312.4
Porites_evermani_scaffold_850	2229.68	749.19	5943.59	1884.28	4353
Porites_evermani_scaffold_6448	254.603	0	73.4665	106.991	21.4737
Porites_evermani_scaffold_1050	35.7088	5.07589	81.322	30.1509	34.4384
Porites_evermani_scaffold_2230	187.266	101.585	409.994	85.7117	32.5584
Porites_evermani_scaffold_5520	15	4	20.6083	3.19472	10.14
Porites_evermani_scaffold_2566	81.0472	104.922	179.661	106.223	123.218
Porites_evermani_scaffold_1504	9137.83	7021.76	11311.8	6325.44	12576.8
Porites_evermani_scaffold_176	68.546	196.608	328.851	182.427	89.1579
Porites_evermani_scaffold_2327	2266.55	5621.12	2351.56	1338.78	4881.7
Porites_evermani_scaffold_4234	81.6958	67.5344	35.319	81.941	85.7072
Porites_evermani_scaffold_6824	29.6681	50.4744	170.28	40.6045	109.426
Porites_evermani_scaffold_6590	55	13	49	31.3413	68.8104
Porites_evermani_scaffold_2195	1423.45	8.29337	7.09559	5.06626	1629.49
Porites_evermani_scaffold_2489	3071.52	236.214	1157.76	745.831	2082.26
Porites_evermani_scaffold_2320	160.558	57.0341	1158.71	114.047	316.756
Porites_evermani_scaffold_3107	696.183	398.942	1625.57	435.346	850.275
Porites_evermani_scaffold_2694	93.2808	17.0091	82.5146	165.212	171.492
Porites_evermani_scaffold_2325	11.2959	59.7199	119.18	24.8938	248.8
Porites_evermani_scaffold_7096	7	38.0077	222.503	49	1
Porites_evermani_scaffold_3815	459.263	42.7322	219.058	172.79	740.247
Porites_evermani_scaffold_3424	175.813	153.139	460.494	130.12	317.481
Porites_evermani_scaffold_447	9337.78	2669.2	7915.04	4443.02	10626.9
Porites_evermani_scaffold_3978	345.635	199.45	716.506	135.17	185.393
Porites_evermani_scaffold_6818	8	4.16224	7	8	4.06654
Porites_evermani_scaffold_3889	296.505	29.6833	47.8995	260.603	479.463
Porites_evermani_scaffold_6833	50.7798	16.1787	290.084	108.47	194.383
Porites_evermani_scaffold_1386	4657.72	923.177	2393.79	2012.97	4918.53
Porites_evermani_scaffold_853	9186.34	1390.99	2655.37	2422.61	12195.8
Porites_evermani_scaffold_2	84256.6	25762.2	49748.8	38439.1	85323.8
Porites_evermani_scaffold_3914	469.588	274	1028.74	315.308	456.411
Porites_evermani_scaffold_2269	7852.04	1674.42	2060.43	3019.39	10384.9
Porites_evermani_scaffold_7251	0	0	13	17	0
Porites_evermani_scaffold_256	2760.25	1535.22	3933.24	2056.05	2765.81
Porites_evermani_scaffold_1000	4295.91	1642.22	2479.31	1945.19	5751.07
Porites_evermani_scaffold_3155	17.0627	8.0011	55.515	17.0148	40.9227
Porites_evermani_scaffold_2171	51.8328	22.7601	121.766	16.4274	64.141
Porites_evermani_scaffold_836	1439.49	712.916	2968.24	1151.93	1732.53
Porites_evermani_scaffold_1672	5439.95	1648.7	3797.14	1952.46	6951.13
Porites_evermani_scaffold_1325	117.828	65.3828	258.867	56.2471	115.439
Porites_evermani_scaffold_6745	2.99404	0	148.592	17.3058	29.2198
Porites_evermani_scaffold_1285	162.744	11.4561	52.996	71.7935	48.7412
Porites_evermani_scaffold_880	3242.54	2530.07	303.759	1202.95	116.505
Porites_evermani_scaffold_1056	210.441	117.331	245.595	115.146	235.409
Porites_evermani_scaffold_6168	154.039	98.2876	22.3333	7.07866	69.6093
Porites_evermani_scaffold_4295	19.0034	2	3.00999	14	4
Porites_evermani_scaffold_5198	90.3197	0	280.888	9.03844	78.4315
Porites_evermani_scaffold_3860	438.786	144.335	759.214	244.482	657.489
Porites_evermani_scaffold_7720	30	14.9289	42	13.719	32.9702
Porites_evermani_scaffold_240	20107.1	12847.1	12149.4	6964.7	28179.2
Porites_evermani_scaffold_1316	394.589	180.84	579.311	224.625	736.655
Porites_evermani_scaffold_6691	19.9451	2	133.439	57.9974	101.491
Porites_evermani_scaffold_205	6804.62	3003.2	7195.65	6510.91	8161.73
Porites_evermani_scaffold_2354	1911.78	153.984	1038.15	437.259	1416.77
Porites_evermani_scaffold_8036	19.7903	45.2318	89.4001	28.1718	35.1998
Porites_evermani_scaffold_1387	2410.62	951.75	1934.23	1804.91	2304.36
Porites_evermani_scaffold_139	970.096	713.771	2959.43	860.425	4115.42
Porites_evermani_scaffold_5017	303.67	187.046	100.038	86.3067	696.344
Porites_evermani_scaffold_2153	892.64	372.051	1919.42	645.135	1087.23
Porites_evermani_scaffold_24	26408.7	15818.7	34075.8	16338	40011.9
Porites_evermani_scaffold_1391	82.8281	16.0628	73.7935	26.6568	34.9319
Porites_evermani_scaffold_2374	708.679	346.444	1322.83	91.4147	524.33
Porites_evermani_scaffold_1582	109.001	15.6549	200.983	460.794	8.15506
Porites_evermani_scaffold_7533	35.0972	1	36	9	10.6342
Porites_evermani_scaffold_6907	87.8931	0	11.1333	0	39.3632
Porites_evermani_scaffold_6415	18.9461	1.02146	75.7674	57.5438	39.6038
Porites_evermani_scaffold_1880	3148.13	1274.62	2313.76	1669.48	4847.24
Porites_evermani_scaffold_1937	2734.73	1215.34	5200.24	2226.29	4332.09
Porites_evermani_scaffold_1171	6962.01	1240	2073.43	2933.75	9029.17
Porites_evermani_scaffold_1396	27428.2	9771.7	1859.39	8990.18	37652.4
Porites_evermani_scaffold_2307	58.6534	154.784	171.077	113.329	82.1372
Porites_evermani_scaffold_4338	6.00182	1.0003	109.646	40.1971	5.36157
Porites_evermani_scaffold_4816	7.77343	0	3	3	5
Porites_evermani_scaffold_2373	5875.1	153.862	2253.51	1504.42	3196.41
Porites_evermani_scaffold_848	1303.71	781.571	2387.15	944.822	1520.63
Porites_evermani_scaffold_5248	36.6079	11	140	26	28
Porites_evermani_scaffold_3987	73.4337	75.4244	89.2877	1.02113	1310.66
Porites_evermani_scaffold_4233	279.259	173.997	311	21	516.021
Porites_evermani_scaffold_3828	4.03892	29.128	4.15907	25.0265	95.2377
Porites_evermani_scaffold_516	4511.54	1662.06	5649.18	2656.02	5680.1
Porites_evermani_scaffold_1881	430.318	312.486	1109.72	442.084	818.423
Porites_evermani_scaffold_2239	1938.3	20662	493.665	579.895	562.839
Porites_evermani_scaffold_2858	7965.57	5867.48	7507.7	4410.95	11716.5
Porites_evermani_scaffold_1065	313.73	146.967	516.059	244.075	524.601
Porites_evermani_scaffold_5365	7.05174	0	31	2	0
Porites_evermani_scaffold_2637	750.448	355.169	1271.42	853.782	962.346
Porites_evermani_scaffold_2993	771.911	423.946	1299.83	459.091	819.992
Porites_evermani_scaffold_4125	245.627	152.893	250.463	57.9365	313.735
Porites_evermani_scaffold_3061	248.236	339.423	1113.36	391.789	380.379
Porites_evermani_scaffold_1093	80.6705	8.09221	105.733	108.762	61.9593
Porites_evermani_scaffold_1414	1125.9	1077.28	2778.7	1474.43	2760.24
Porites_evermani_scaffold_379	5886.85	2156.5	5745.26	3576.72	6922.97
Porites_evermani_scaffold_2358	548.234	203.101	492.304	444.276	609.257
Porites_evermani_scaffold_1786	22187.7	1299.09	7204.87	12707.5	29998.6
Porites_evermani_scaffold_223	15392.7	6595.73	15788.1	9430.62	18119.6
Porites_evermani_scaffold_1179	259.159	141.348	556.104	231.611	329.359
Porites_evermani_scaffold_679	2960.55	1316.33	1255.87	561.294	4291.64
Porites_evermani_scaffold_1361	323.298	755.221	636.753	550.219	852.415
Porites_evermani_scaffold_4104	61.7458	11.0817	163.91	17.7363	20.0526
Porites_evermani_scaffold_1032	1335.04	502.954	1854.82	682.564	1948.54
Porites_evermani_scaffold_933	12554.2	8467.21	13764.5	7498.89	14520.4
Porites_evermani_scaffold_3822	572.111	278.227	487.829	115.686	342.361
Porites_evermani_scaffold_3292	141.295	133.123	444.753	258.709	431.924
Porites_evermani_scaffold_2679	72.504	45.8041	127.476	80.5978	151.768
Porites_evermani_scaffold_216	3429.27	5184.61	5175.37	1961.86	3021.07
Porites_evermani_scaffold_7843	18.6114	12	36.6046	19.2949	24.6726
Porites_evermani_scaffold_529	9033.01	3786.87	9830.62	3676.21	11916.8
Porites_evermani_scaffold_1335	1376.07	6210.03	848.867	1007.29	1927.85
Porites_evermani_scaffold_628	2800.88	1489.34	4697.15	1369.41	3354.41
Porites_evermani_scaffold_1311	1712.02	939.91	1966.15	956.107	3383.93
Porites_evermani_scaffold_3159	28.2096	13.0331	1.002	19.0958	18.2299
Porites_evermani_scaffold_794	27643.8	7557.43	14832.6	8982.89	30950.7
Porites_evermani_scaffold_1232	470.286	9.70939	53.1703	20.2835	111.837
Porites_evermani_scaffold_6426	0	0	1	0	1
Porites_evermani_scaffold_3259	636.123	147.223	742.418	515.807	755.334
Porites_evermani_scaffold_5577	2.22109	18.7521	0	8.76778	53.8673
Porites_evermani_scaffold_2235	354.482	116.303	675.985	503.627	762.009
Porites_evermani_scaffold_4655	0	3.0759	175.244	0	8.00626
Porites_evermani_scaffold_7023	0	2	0	0	2
Porites_evermani_scaffold_3855	6.28168	9.44168	0	14.0397	8.19969
Porites_evermani_scaffold_2883	201.087	26.0161	364.298	77.0594	310.351
